origin_lat,origin_lon,dest_lat,dest_lon,dest_type,travel_time_minutes,distance_km,method
40.3679475110157,-79.9819729240561,40.467315,-79.95359,Primary,21.55,14.8,google_maps
40.3679475110157,-79.9819729240561,40.436889,-79.9607,Primary,18.5,12.486,google_maps
40.3679475110157,-79.9819729240561,40.351343,-79.849457,Primary,22.533333333333335,14.757,google_maps
40.3679475110157,-79.9819729240561,40.436137,-79.985285,Comprehensive,17.633333333333333,10.361,google_maps
40.3679475110157,-79.9819729240561,40.573319,-80.014525,Primary,30.016666666666666,26.333,google_maps
40.3679475110157,-79.9819729240561,40.441544,-79.959356,Comprehensive,19.116666666666667,12.74,google_maps
40.3679475110157,-79.9819729240561,40.454845,-79.939793,Primary,22.616666666666667,15.432,google_maps
40.3679475110157,-79.9819729240561,40.489286,-79.895994,Primary,24.233333333333334,22.67,google_maps
40.3679475110157,-79.9819729240561,40.436561,-79.760197,Primary,30.566666666666666,31.308,google_maps
40.3679475110157,-79.9819729240561,40.45701,-80.003724,Comprehensive,22.1,13.772,google_maps
40.3679475110157,-79.9819729240561,40.619129,-79.737849,Primary,39.18333333333333,44.952,google_maps
40.3679475110157,-79.9819729240561,40.427585,-79.747217,Primary,33.53333333333333,32.754,google_maps
40.3679475110157,-79.9819729240561,40.461453,-79.946364,Primary,20.883333333333333,14.842,google_maps
40.3679475110157,-79.9819729240561,40.447391,-79.959788,Primary,19.95,14.177,google_maps
40.3679475110157,-79.9819729240561,40.543454,-80.177601,Primary,36.0,30.419,google_maps
40.3679475110157,-79.9819729240561,40.31844,-79.933488,Primary,15.283333333333333,9.588,google_maps
40.3679475110157,-79.9819729240561,40.472755,-80.090742,Primary,26.433333333333334,17.977,google_maps
40.3679475110157,-79.9819729240561,40.378099,-80.06661,Primary,20.15,10.536,google_maps
40.3679475110157,-79.9819729240561,40.576315,-80.203135,Primary,40.28333333333333,34.973,google_maps
40.3679475110157,-79.9819729240561,40.321195,-80.112625,Primary,24.966666666666665,17.832,google_maps
40.3679475110157,-79.9819729240561,40.424369,-79.745967,Primary,33.88333333333333,33.14,google_maps
40.3679475110157,-79.9819729240561,40.536213,-79.849228,Primary,30.0,31.457,google_maps
40.3679475110157,-79.9819729240561,40.494569,-80.060335,Primary,22.983333333333334,17.727,google_maps
40.4895881392563,-80.059240857482,40.467315,-79.95359,Primary,13.783333333333333,13.512,google_maps
